lang,metric,n_A,n_B,mean_A,mean_B,mean_diff_A_minus_B,better,aso_effect,aso_ci_low,aso_ci_high,bootstrap_mean_diff,bootstrap_ci_low,bootstrap_ci_high,bootstrap_pvalue_two_sided,permutation_pvalue_two_sided,deepsig_eps_min,deepsig_bootstrap_pvalue,deepsig_permutation_pvalue
anbmBmAn,success_n,5,5,17.4,12.2,5.199999999999999,A,0.08000000000000007,-0.6799999999999999,0.76,5.199999999999999,-7.0,20.80499999999998,0.505,0.6486702659468107,0.5860209003476393,0.2314,0.3143371325734853
anbn,success_n,5,5,32.2,19.8,12.400000000000002,A,0.3600000000000001,-0.3999999999999999,1.0,12.400000000000002,-1.0049999999999912,26.999999999999996,0.078,0.2581483703259348,0.31920047473965374,0.052,0.1863627274545091
anbncn,success_n,5,5,11.4,16.0,-4.6,B,-1.0,-1.0,-1.0,-4.6,-5.800000000000001,-3.200000000000001,0.0,0.004999000199960008,0.9990454432803848,1.0,1.0
