cfg_init_scale,cfg_init_scheme,cfg_learning_rate,cfg_num_cells,cfg_num_layers,n_runs,success_n_mean,success_n_std,converged_rate,steps_to_converge_mean,steps_to_converge_std,final_loss_mean,final_loss_std,final_train_acc_mean,final_train_acc_std,fp_mode_code,fp_mode_frac
1.0,small_normal,0.05,4,2,5,19.6,5.504543577809154,1.0,320.0,189.07670401189037,0.28359171450138093,0.03585133536397566,100.0,0.0,cell2_sign1_fgH,0.4
1.0,pytorch_default,0.01,2,1,5,19.6,12.501999840025595,0.8,349.8,264.90602107162454,0.3668397843837738,0.0537960265409463,99.23124084472656,1.7189977295167227,cell0_sign1_fgH,0.4
1.0,xavier_uniform,0.01,8,2,5,19.2,4.969909455915671,1.0,270.0,75.82875444051551,0.3262091338634491,0.08702723281099345,100.0,0.0,cell4_sign-1_fgH,0.2
1.0,pytorch_default,0.1,8,1,5,19.0,3.6742346141747673,1.0,130.0,97.46794344808964,0.2785273611545563,0.011300588088287034,100.0,0.0,cell0_sign-1_fgH,0.4
1.0,orthogonal_recurrent_xavier,0.1,2,1,5,19.0,18.641351882307248,0.6,259.6,396.2452523374886,0.3990123450756073,0.13464147699925003,95.41840362548828,6.476172484204632,cell0_sign-1_fgL,0.4
1.0,small_normal,0.1,4,2,5,18.8,3.03315017762062,1.0,380.0,389.87177379235857,0.3542342185974121,0.09516968363335178,100.0,0.0,cell0_sign-1_fgH,0.2
1.0,xavier_uniform,0.05,8,1,5,18.4,9.762171889492624,1.0,80.0,44.721359549995796,0.3031769633293152,0.08157164649603205,100.0,0.0,cell2_sign-1_fgH,0.2
1.0,orthogonal_recurrent_xavier,0.05,4,1,5,18.4,10.261578825892242,1.0,190.0,134.16407864998737,0.27964031994342803,0.05482494400179169,100.0,0.0,cell2_sign1_fgH,0.2
1.0,small_normal,0.01,4,1,5,18.4,6.4265076052238514,1.0,330.0,115.10864433221339,0.2924457222223282,0.035144428033637494,100.0,0.0,cell2_sign1_fgH,0.4
1.0,small_normal,0.05,8,2,5,18.2,7.791020472312982,1.0,150.0,100.0,0.29354934990406034,0.04288065668317199,100.0,0.0,cell0_sign-1_fgL,0.2
